Sample_ID	Date_Collected	Month	Year	Station	Sample_Type	Experiment	Chl	Extraction_Date	Amplification	Enough_reads
SRR4619368	27-Oct-14	October	2014	WE4	100um ret	Field	1.14	NA	NA	Yes
SRR3385676	27-Oct-14	October	2014	WE4	Whole Water	Field	1.14	NA	NA	Yes
SRR4619383	6-Oct-14	October	2014	WE4	100um ret	Field	1.18	NA	NA	Yes
SRR3385666	6-Oct-14	October	2014	WE4	Whole Water	Field	1.18	NA	NA	Yes
SRR4619366	20-Oct-14	October	2014	WE4	100um ret	Field	1.39	NA	NA	Yes
SRR3385672	20-Oct-14	October	2014	WE4	Whole Water	Field	1.39	NA	NA	Yes
SRR3385659	23-Sep-14	September	2014	WE4	Whole Water	Field	2.62	NA	NA	Yes
SRR4619365	27-Oct-14	October	2014	WE2	100um ret	Field	3.26	NA	NA	Yes
SRR3385674	27-Oct-14	October	2014	WE2	Whole Water	Field	3.26	NA	NA	Yes
SRR4619346	8-Jul-14	July	2014	WE4	100um ret	Field	3.55	NA	NA	Yes
SRR3385679	8-Jul-14	July	2014	WE4	Whole Water	Field	3.55	NA	NA	Yes
SRR4619378	25-Aug-14	August	2014	WE4	100um ret	Field	3.56	NA	NA	Yes
SRR3385645	25-Aug-14	August	2014	WE4	Whole Water	Field	3.56	NA	NA	Yes
SRR4619349	15-Sep-14	September	2014	WE4	100um ret	Field	3.94	NA	NA	Yes
SRR3385656	15-Sep-14	September	2014	WE4	Whole Water	Field	3.94	NA	NA	Yes
SRR4619354	14-Jul-14	July	2014	WE4	100um ret	Field	3.96	NA	NA	Yes
SRR4619382	6-Oct-14	October	2014	WE12	100um ret	Field	3.97	NA	NA	Yes
SRR3385665	6-Oct-14	October	2014	WE12	Whole Water	Field	3.97	NA	NA	Yes
SRR3385668	15-Oct-14	October	2014	WE12	Whole Water	Field	4.11	NA	NA	Yes
SRR4619379	15-Oct-14	October	2014	WE4	100um ret	Field	4.15	NA	NA	Yes
SRR3385669	15-Oct-14	October	2014	WE4	Whole Water	Field	4.15	NA	NA	Yes
SRR4619364	27-Oct-14	October	2014	WE12	100um ret	Field	4.91	NA	NA	Yes
SRR3385675	27-Oct-14	October	2014	WE12	Whole Water	Field	4.91	NA	NA	Yes
SRR4619367	20-Oct-14	October	2014	WE12	100um ret	Field	5	NA	NA	Yes
SRR3385671	20-Oct-14	October	2014	WE12	Whole Water	Field	5	NA	NA	Yes
BIE2018_0097	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
BIE2018_0098	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
BIE2018_0099	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
BIE2018_0100	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
BIE2018_0103	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
BIE2018_0104	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
BIE2018_0105	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
BIE2018_0106	10-Jul-18	July	2018	WE2	Whole Water	Mesocosm	5	NA	NA	Yes
SRR4619374	18-Aug-14	August	2014	WE4	100um ret	Field	5.86	NA	NA	Yes
SRR3385642	18-Aug-14	August	2014	WE4	Whole Water	Field	5.86	NA	NA	Yes
BIE2017_0010	27-Jun-17	June	2017	WE2	Whole Water	Mesocosm	5.9	NA	NA	Yes
BIE2017_0011	27-Jun-17	June	2017	WE2	Whole Water	Mesocosm	5.9	NA	NA	Yes
BIE2017_0012	27-Jun-17	June	2017	WE2	Whole Water	Mesocosm	5.9	NA	NA	Yes
BIE2017_0013	27-Jun-17	June	2017	WE2	Whole Water	Mesocosm	5.9	NA	NA	Yes
SRR4619351	21-Jul-14	July	2014	WE4	100um ret	Field	5.95	NA	NA	Yes
BIE2017_0018	12-Jul-17	July	2017	WE2	Whole Water	Mesocosm	6	NA	NA	Yes
BIE2017_0019	12-Jul-17	July	2017	WE2	Whole Water	Mesocosm	6	NA	NA	Yes
BIE2017_0020	12-Jul-17	July	2017	WE2	Whole Water	Mesocosm	6	NA	NA	Yes
BIE2017_0021	12-Jul-17	July	2017	WE2	Whole Water	Mesocosm	6	NA	NA	Yes
SRR4619338	29-Jul-14	July	2014	WE4	100um ret	Field	6.12	NA	NA	Yes
SRR3385635	29-Jul-14	July	2014	WE4	Whole Water	Field	6.12	NA	NA	Yes
SRR4619342	8-Jul-14	July	2014	WE2	100um ret	Field	6.85	NA	NA	Yes
SRR3385677	8-Jul-14	July	2014	WE2	Whole Water	Field	6.85	NA	NA	Yes
SRR4619384	15-Oct-14	October	2014	WE2	100um ret	Field	6.85	NA	NA	Yes
SRR3385667	15-Oct-14	October	2014	WE2	Whole Water	Field	6.85	NA	NA	Yes
SRR4619341	8-Jul-14	July	2014	WE12	100um ret	Field	6.98	NA	NA	Yes
SRR3385678	8-Jul-14	July	2014	WE12	Whole Water	Field	6.98	NA	NA	Yes
E2019_1151_1	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
E2019_1151_2	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
E2019_1152_1_2	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
E2019_1152_2	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
E2019_1153_1	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
E2019_1153_2	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
E2019_1154_1	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
E2019_1154_2	17-Sep-19	September	2019	Unnamed7	Whole Water	Mesocosm	7	NA	NA	Yes
SRR4619380	20-Oct-14	October	2014	WE2	100um ret	Field	7.23	NA	NA	Yes
SRR3385670	20-Oct-14	October	2014	WE2	Whole Water	Field	7.23	NA	NA	Yes
E2019_1176_1	20-Sep-19	September	2019	Unnamed8	Whole Water	Mesocosm	7.7	NA	NA	Yes
E2019_1176_2	20-Sep-19	September	2019	Unnamed8	Whole Water	Mesocosm	7.7	NA	NA	Yes
E2019_1177_1_2	20-Sep-19	September	2019	Unnamed8	Whole Water	Mesocosm	7.7	NA	NA	Yes
E2019_1177_2	20-Sep-19	September	2019	Unnamed8	Whole Water	Mesocosm	7.7	NA	NA	Yes
SRR4619355	14-Jul-14	July	2014	WE12	100um ret	Field	7.74	NA	NA	Yes
SRR4619375	30-Jun-14	June	2014	WE12	100um ret	Field	7.88	NA	NA	Yes
SRR3385662	30-Jun-14	June	2014	WE12	Whole Water	Field	7.88	NA	NA	Yes
SRR4619381	6-Oct-14	October	2014	WE2	100um ret	Field	8.06	NA	NA	Yes
SRR3385664	6-Oct-14	October	2014	WE2	Whole Water	Field	8.06	NA	NA	Yes
BIE2018_0529	14-Sep-18	September	2018	TWI	Whole Water	Mesocosm	8.2	NA	NA	Yes
BIE2018_0530	14-Sep-18	September	2018	TWI	Whole Water	Mesocosm	8.2	NA	NA	Yes
BIE2018_0531	14-Sep-18	September	2018	TWI	Whole Water	Mesocosm	8.2	NA	NA	Yes
BIE2018_0532	14-Sep-18	September	2018	TWI	Whole Water	Mesocosm	8.2	NA	NA	Yes
SRR4619388	29-Sep-14	September	2014	WE4	100um ret	Field	9.21	NA	NA	Yes
SRR4619350	29-Jul-14	July	2014	WE2	100um ret	Field	10.02	NA	NA	Yes
BIE2018_0145	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
BIE2018_0146	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
BIE2018_0147	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
BIE2018_0148	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
BIE2018_0151	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
BIE2018_0152	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
BIE2018_0153	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
BIE2018_0154	24-Jul-18	July	2018	WE2	Whole Water	Mesocosm	10.1	NA	NA	Yes
SRR4619345	14-Jul-14	July	2014	WE2	100um ret	Field	10.43	NA	NA	Yes
SRR3385680	14-Jul-14	July	2014	WE2	Whole Water	Field	10.43	NA	NA	Yes
SRR4619340	16-Jun-14	June	2014	WE2	100um ret	Field	10.72	NA	NA	Yes
SRR4619369	11-Aug-14	August	2014	WE12	100um ret	Field	11.58	NA	NA	Yes
BIE2018_0337	10-Aug-18	August	2018	TWI	Whole Water	Mesocosm	11.9	NA	NA	Yes
BIE2018_0338	10-Aug-18	August	2018	TWI	Whole Water	Mesocosm	11.9	NA	NA	Yes
BIE2018_0339	10-Aug-18	August	2018	TWI	Whole Water	Mesocosm	11.9	NA	NA	Yes
BIE2018_0340	10-Aug-18	August	2018	TWI	Whole Water	Mesocosm	11.9	NA	NA	Yes
SRR4619335	16-Jun-14	June	2014	WE4	100um ret	Field	12.26	NA	NA	Yes
SRR3385638	16-Jun-14	June	2014	WE4	Whole Water	Field	12.26	NA	NA	Yes
SRR4619348	23-Sep-14	September	2014	WE2	100um ret	Field	12.64	NA	NA	Yes
SRR3385657	23-Sep-14	September	2014	WE2	Whole Water	Field	12.64	NA	NA	Yes
SRR4619343	30-Jun-14	June	2014	WE4	100um ret	Field	12.93	NA	NA	Yes
SRR3385673	30-Jun-14	June	2014	WE4	Whole Water	Field	12.93	NA	NA	Yes
BIE2017_0014	6-Jul-17	July	2017	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2017_0015	6-Jul-17	July	2017	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2017_0016	6-Jul-17	July	2017	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2017_0017	6-Jul-17	July	2017	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0433	21-Aug-18	August	2018	WE12	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0434	21-Aug-18	August	2018	WE12	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0435	21-Aug-18	August	2018	WE12	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0436	21-Aug-18	August	2018	WE12	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0481	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0482	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0483	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0484	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0487	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0488	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0489	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
BIE2018_0490	18-Sep-18	September	2018	WE2	Whole Water	Mesocosm	13	NA	NA	Yes
SRR4619363	15-Sep-14	September	2014	WE2	100um ret	Field	13.72	NA	NA	Yes
SRR3385654	15-Sep-14	September	2014	WE2	Whole Water	Field	13.72	NA	NA	Yes
BIE2017_0074	5-Oct-17	October	2017	EC1461	Whole Water	Mesocosm	15.2	NA	NA	Yes
BIE2017_0075	5-Oct-17	October	2017	EC1461	Whole Water	Mesocosm	15.2	NA	NA	Yes
BIE2017_0076	5-Oct-17	October	2017	EC1461	Whole Water	Mesocosm	15.2	NA	NA	Yes
BIE2017_0077	5-Oct-17	October	2017	EC1461	Whole Water	Mesocosm	15.2	NA	NA	Yes
SRR4619353	21-Jul-14	July	2014	WE2	100um ret	Field	16.26	NA	NA	Yes
SRR4619385	23-Sep-14	September	2014	WE12	100um ret	Field	16.97	NA	NA	Yes
SRR3385658	23-Sep-14	September	2014	WE12	Whole Water	Field	16.97	NA	NA	Yes
BIE2018_0385	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0386	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0387	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0388	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
BIE2018_0391	14-Aug-18	August	2018	WE2	Whole Water	Mesocosm	17.2	NA	NA	Yes
