sample	r1	r2
SRR10688483	SRR10688483_16S_V4_amplicon_sequencing_of_SU08M_MID_April2013_1.fastq	SRR10688483_16S_V4_amplicon_sequencing_of_SU08M_MID_April2013_2.fastq
SRR10688484	SRR10688484_16S_V4_amplicon_sequencing_of_SU08M_SRF_April2013_1.fastq	SRR10688484_16S_V4_amplicon_sequencing_of_SU08M_SRF_April2013_2.fastq
SRR10688485	SRR10688485_16S_V4_amplicon_sequencing_of_SU01M_B10_April2013_1.fastq	SRR10688485_16S_V4_amplicon_sequencing_of_SU01M_B10_April2013_2.fastq
SRR10688486	SRR10688486_16S_V4_amplicon_sequencing_of_SU01M_MID_April2013_1.fastq	SRR10688486_16S_V4_amplicon_sequencing_of_SU01M_MID_April2013_2.fastq
SRR10688487	SRR10688487_16S_V4_amplicon_sequencing_of_SU01M_SRF_April2013_1.fastq	SRR10688487_16S_V4_amplicon_sequencing_of_SU01M_SRF_April2013_2.fastq
SRR10688488	SRR10688488_16S_V4_amplicon_sequencing_of_ON55M_B10_April2013_1.fastq	SRR10688488_16S_V4_amplicon_sequencing_of_ON55M_B10_April2013_2.fastq
SRR10688489	SRR10688489_16S_V4_amplicon_sequencing_of_ON55M_MID_April2013_1.fastq	SRR10688489_16S_V4_amplicon_sequencing_of_ON55M_MID_April2013_2.fastq
SRR10688490	SRR10688490_16S_V4_amplicon_sequencing_of_ON55M_SRF_April2013_1.fastq	SRR10688490_16S_V4_amplicon_sequencing_of_ON55M_SRF_April2013_2.fastq
SRR10688491	SRR10688491_16S_V4_amplicon_sequencing_of_ON33M_B10_April2013_1.fastq	SRR10688491_16S_V4_amplicon_sequencing_of_ON33M_B10_April2013_2.fastq
SRR10688492	SRR10688492_16S_V4_amplicon_sequencing_of_ON33M_MID_April2013_1.fastq	SRR10688492_16S_V4_amplicon_sequencing_of_ON33M_MID_April2013_2.fastq
SRR10688493	SRR10688493_16S_V4_amplicon_sequencing_of_ER78M_SRF_Aug2012_1.fastq	SRR10688493_16S_V4_amplicon_sequencing_of_ER78M_SRF_Aug2012_2.fastq
SRR10688494	SRR10688494_16S_V4_amplicon_sequencing_of_ON33M_SRF_April2013_1.fastq	SRR10688494_16S_V4_amplicon_sequencing_of_ON33M_SRF_April2013_2.fastq
SRR10688495	SRR10688495_16S_V4_amplicon_sequencing_of_MI41M_B10_April2013_1.fastq	SRR10688495_16S_V4_amplicon_sequencing_of_MI41M_B10_April2013_2.fastq
SRR10688496	SRR10688496_16S_V4_amplicon_sequencing_of_MI41M_MID_April2013_1.fastq	SRR10688496_16S_V4_amplicon_sequencing_of_MI41M_MID_April2013_2.fastq
SRR10688497	SRR10688497_16S_V4_amplicon_sequencing_of_MI41M_SRF_April2013_1.fastq	SRR10688497_16S_V4_amplicon_sequencing_of_MI41M_SRF_April2013_2.fastq
SRR10688498	SRR10688498_16S_V4_amplicon_sequencing_of_MI27M_B10_April2013_1.fastq	SRR10688498_16S_V4_amplicon_sequencing_of_MI27M_B10_April2013_2.fastq
SRR10688499	SRR10688499_16S_V4_amplicon_sequencing_of_MI27M_MID_April2013_1.fastq	SRR10688499_16S_V4_amplicon_sequencing_of_MI27M_MID_April2013_2.fastq
SRR10688500	SRR10688500_16S_V4_amplicon_sequencing_of_MI27M_SRF_Apr2012_1.fastq	SRR10688500_16S_V4_amplicon_sequencing_of_MI27M_SRF_Apr2012_2.fastq
SRR10688501	SRR10688501_16S_V4_amplicon_sequencing_of_MI18M_B10_April2013_1.fastq	SRR10688501_16S_V4_amplicon_sequencing_of_MI18M_B10_April2013_2.fastq
SRR10688502	SRR10688502_16S_V4_amplicon_sequencing_of_MI18M_MID_April2013_1.fastq	SRR10688502_16S_V4_amplicon_sequencing_of_MI18M_MID_April2013_2.fastq
SRR10688503	SRR10688503_16S_V4_amplicon_sequencing_of_MI18M_SRF_April2013_1.fastq	SRR10688503_16S_V4_amplicon_sequencing_of_MI18M_SRF_April2013_2.fastq
SRR10688504	SRR10688504_16S_V4_amplicon_sequencing_of_ER15M_Bminus_Aug2012_1.fastq	SRR10688504_16S_V4_amplicon_sequencing_of_ER15M_Bminus_Aug2012_2.fastq
SRR10688505	SRR10688505_16S_V4_amplicon_sequencing_of_HU54M_B10_April2013_1.fastq	SRR10688505_16S_V4_amplicon_sequencing_of_HU54M_B10_April2013_2.fastq
SRR10688506	SRR10688506_16S_V4_amplicon_sequencing_of_HU54M_MID_April2013_1.fastq	SRR10688506_16S_V4_amplicon_sequencing_of_HU54M_MID_April2013_2.fastq
SRR10688507	SRR10688507_16S_V4_amplicon_sequencing_of_HU54M_SRF_April2013_1.fastq	SRR10688507_16S_V4_amplicon_sequencing_of_HU54M_SRF_April2013_2.fastq
SRR10688508	SRR10688508_16S_V4_amplicon_sequencing_of_HU45M_B10_April2013_1.fastq	SRR10688508_16S_V4_amplicon_sequencing_of_HU45M_B10_April2013_2.fastq
SRR10688509	SRR10688509_16S_V4_amplicon_sequencing_of_HU45M_MID_April2013_1.fastq	SRR10688509_16S_V4_amplicon_sequencing_of_HU45M_MID_April2013_2.fastq
SRR10688510	SRR10688510_16S_V4_amplicon_sequencing_of_HU45M_SRF_April2013_1.fastq	SRR10688510_16S_V4_amplicon_sequencing_of_HU45M_SRF_April2013_2.fastq
SRR10688511	SRR10688511_16S_V4_amplicon_sequencing_of_HU15M_B10_April2013_1.fastq	SRR10688511_16S_V4_amplicon_sequencing_of_HU15M_B10_April2013_2.fastq
SRR10688512	SRR10688512_16S_V4_amplicon_sequencing_of_HU15M_MID_April2013_1.fastq	SRR10688512_16S_V4_amplicon_sequencing_of_HU15M_MID_April2013_2.fastq
SRR10688513	SRR10688513_16S_V4_amplicon_sequencing_of_HU15M_SRF_April2013_1.fastq	SRR10688513_16S_V4_amplicon_sequencing_of_HU15M_SRF_April2013_2.fastq
SRR10688514	SRR10688514_16S_V4_amplicon_sequencing_of_ER91M_Bminus_April2013_1.fastq	SRR10688514_16S_V4_amplicon_sequencing_of_ER91M_Bminus_April2013_2.fastq
SRR10688515	SRR10688515_16S_V4_amplicon_sequencing_of_ER15M_MHY_Aug2012_1.fastq	SRR10688515_16S_V4_amplicon_sequencing_of_ER15M_MHY_Aug2012_2.fastq
SRR10688516	SRR10688516_16S_V4_amplicon_sequencing_of_ER91M_MID_April2013_1.fastq	SRR10688516_16S_V4_amplicon_sequencing_of_ER91M_MID_April2013_2.fastq
SRR10688517	SRR10688517_16S_V4_amplicon_sequencing_of_ER91M_SRF_April2013_1.fastq	SRR10688517_16S_V4_amplicon_sequencing_of_ER91M_SRF_April2013_2.fastq
SRR10688518	SRR10688518_16S_V4_amplicon_sequencing_of_ER78M_MID_April2013_1.fastq	SRR10688518_16S_V4_amplicon_sequencing_of_ER78M_MID_April2013_2.fastq
SRR10688519	SRR10688519_16S_V4_amplicon_sequencing_of_ER15M_B10_April2013_1.fastq	SRR10688519_16S_V4_amplicon_sequencing_of_ER15M_B10_April2013_2.fastq
SRR10688520	SRR10688520_16S_V4_amplicon_sequencing_of_ER15M_MID_April2013_1.fastq	SRR10688520_16S_V4_amplicon_sequencing_of_ER15M_MID_April2013_2.fastq
SRR10688521	SRR10688521_16S_V4_amplicon_sequencing_of_ER15M_SRF_April2013_1.fastq	SRR10688521_16S_V4_amplicon_sequencing_of_ER15M_SRF_April2013_2.fastq
SRR10688522	SRR10688522_16S_V4_amplicon_sequencing_of_SU18_B10_Aug2012_1.fastq	SRR10688522_16S_V4_amplicon_sequencing_of_SU18_B10_Aug2012_2.fastq
SRR10688523	SRR10688523_16S_V4_amplicon_sequencing_of_SU18_MHY_Aug2012_1.fastq	SRR10688523_16S_V4_amplicon_sequencing_of_SU18_MHY_Aug2012_2.fastq
SRR10688524	SRR10688524_16S_V4_amplicon_sequencing_of_SU18_DCL_Aug2012_1.fastq	SRR10688524_16S_V4_amplicon_sequencing_of_SU18_DCL_Aug2012_2.fastq
SRR10688525	SRR10688525_16S_V4_amplicon_sequencing_of_SU18_SRF_Aug2012_1.fastq	SRR10688525_16S_V4_amplicon_sequencing_of_SU18_SRF_Aug2012_2.fastq
SRR10688526	SRR10688526_16S_V4_amplicon_sequencing_of_ER15M_LEP_Aug2012_1.fastq	SRR10688526_16S_V4_amplicon_sequencing_of_ER15M_LEP_Aug2012_2.fastq
SRR10688527	SRR10688527_16S_V4_amplicon_sequencing_of_SU08M_B10_Aug2012_1.fastq	SRR10688527_16S_V4_amplicon_sequencing_of_SU08M_B10_Aug2012_2.fastq
SRR10688528	SRR10688528_16S_V4_amplicon_sequencing_of_SU08M_MHY_Aug2012_1.fastq	SRR10688528_16S_V4_amplicon_sequencing_of_SU08M_MHY_Aug2012_2.fastq
SRR10688529	SRR10688529_16S_V4_amplicon_sequencing_of_SU08M_DCL_Aug2012_1.fastq	SRR10688529_16S_V4_amplicon_sequencing_of_SU08M_DCL_Aug2012_2.fastq
SRR10688530	SRR10688530_16S_V4_amplicon_sequencing_of_SU08M_SRF_Aug2012_1.fastq	SRR10688530_16S_V4_amplicon_sequencing_of_SU08M_SRF_Aug2012_2.fastq
SRR10688531	SRR10688531_16S_V4_amplicon_sequencing_of_SU01M_B10_Aug2012_1.fastq	SRR10688531_16S_V4_amplicon_sequencing_of_SU01M_B10_Aug2012_2.fastq
SRR10688532	SRR10688532_16S_V4_amplicon_sequencing_of_SU01M_MHY_Aug2012_1.fastq	SRR10688532_16S_V4_amplicon_sequencing_of_SU01M_MHY_Aug2012_2.fastq
SRR10688533	SRR10688533_16S_V4_amplicon_sequencing_of_SU01M_DCL_Aug2012_1.fastq	SRR10688533_16S_V4_amplicon_sequencing_of_SU01M_DCL_Aug2012_2.fastq
