Sample	Description	Platform	Date	Depth (m)	Depth Class	Size Fraction
SRR10206157A	"Chaohu Lake, China Microcystis Bloom, rep A"	Illumina HiSeq 3000	16-May-16	nan	Surface	Total
SRR10206157B	"Chaohu Lake, China Microcystis Bloom, rep B"	Illumina HiSeq 3000	16-May-16	nan	Surface	Total
SRR10206157C	"Chaohu Lake, China Microcystis Bloom, rep C"	Illumina HiSeq 3000	16-May-16	nan	Surface	Total
SRR10230148A	"Villerest Lake, France Microcystis Bloom, rep A"	Illumina HiSeq 3000	10-Oct-16	nan	Surface	Total
SRR10230148B	"Villerest Lake, France Microcystis Bloom, rep B"	Illumina HiSeq 3000	10-Oct-16	nan	Surface	Total
SRR10230148C	"Villerest Lake, France Microcystis Bloom, rep C"	Illumina HiSeq 3000	10-Oct-16	nan	Surface	Total
SRR10230149A	"Rotoehu Lake, New Zealand Microcystis Bloom, rep A"	Illumina HiSeq 3000	6-Feb-17	nan	Surface	Total
SRR10230149B	"Rotoehu Lake, New Zealand Microcystis Bloom, rep B"	Illumina HiSeq 3000	6-Feb-17	nan	Surface	Total
SRR10230149C	"Rotoehu Lake, New Zealand Microcystis Bloom, rep C"	Illumina HiSeq 3000	6-Feb-17	nan	Surface	Total
SRR10230150A	"Kinneret Lake, Israel Microcystis Bloom, rep A"	Illumina HiSeq 3000	12-Feb-17	nan	Surface	Total
SRR10230150B	"Kinneret Lake, Israel Microcystis Bloom, rep B"	Illumina HiSeq 3000	12-Feb-17	nan	Surface	Total
SRR10230150C	"Kinneret Lake, Israel Microcystis Bloom, rep C"	Illumina HiSeq 3000	12-Feb-17	nan	Surface	Total
SRR10230151A	"Grand Lake o the Cherokees, USA Microcystis Bloom, rep A"	Illumina HiSeq 3000	21-Jun-17	nan	Surface	Total
SRR10230151B	"Grand Lake o the Cherokees, USA Microcystis Bloom, rep B"	Illumina HiSeq 3000	21-Jun-17	nan	Surface	Total
SRR10230151C	"Grand Lake o the Cherokees, USA Microcystis Bloom, rep C"	Illumina HiSeq 3000	21-Jun-17	nan	Surface	Total
SRR10230152A	"Fish Pond 23 Lake, USA Microcystis Bloom, rep A"	Illumina HiSeq 3000	6-Dec-16	nan	Surface	Total
SRR10230152B	"Fish Pond 23 Lake, USA Microcystis Bloom, rep B"	Illumina HiSeq 3000	6-Dec-16	nan	Surface	Total
SRR10230152C	"Fish Pond 23 Lake, USA Microcystis Bloom, rep C"	Illumina HiSeq 3000	6-Dec-16	nan	Surface	Total
SRR10230153A	"Clarendon Lake, Australia Microcystis Bloom, rep A"	Illumina HiSeq 3000	16-Mar-17	nan	Surface	Total
SRR10230153B	"Clarendon Lake, Australia Microcystis Bloom, rep B"	Illumina HiSeq 3000	16-Mar-17	nan	Surface	Total
SRR10230153C	"Clarendon Lake, Australia Microcystis Bloom, rep C"	Illumina HiSeq 3000	16-Mar-17	nan	Surface	Total
SRR10230154A	"Belso-to Lake, Hungary Microcystis Bloom, rep A"	Illumina HiSeq 3000	20-Sep-16	nan	Surface	Total
SRR10230154B	"Belso-to Lake, Hungary Microcystis Bloom, rep B"	Illumina HiSeq 3000	20-Sep-16	nan	Surface	Total
SRR10230154C	"Belso-to Lake, Hungary Microcystis Bloom, rep C"	Illumina HiSeq 3000	20-Sep-16	nan	Surface	Total
SRR10230155A	"Lake Aasee, Germany Microcystis Bloom, rep A"	Illumina HiSeq 3000	26-Jul-17	nan	Surface	Total
SRR10230155B	"Lake Aasee, Germany Microcystis Bloom, rep B"	Illumina HiSeq 3000	26-Jul-17	nan	Surface	Total
SRR10230155C	"Lake Aasee, Germany Microcystis Bloom, rep C"	Illumina HiSeq 3000	26-Jul-17	nan	Surface	Total
SRR10688483	"Lake Superior, USA Station 8"	Illumina MiSeq	14-Apr-13	100	Mid	Free-living
SRR10688484	"Lake Superior, USA Station 8"	Illumina MiSeq	14-Apr-13	1.8	Surface	Free-living
SRR10688485	"Lake Superior, USA Station 1"	Illumina MiSeq	13-Apr-13	83.1	Bottom	Free-living
SRR10688486	"Lake Superior, USA Station 1"	Illumina MiSeq	13-Apr-13	50	Mid	Free-living
SRR10688487	"Lake Superior, USA Station 1"	Illumina MiSeq	13-Apr-13	1.7	Surface	Free-living
SRR10688488	"Lake Ontario, USA Station 55"	Illumina MiSeq	5-Apr-13	183.1	Bottom	Free-living
SRR10688489	"Lake Ontario, USA Station 55"	Illumina MiSeq	5-Apr-13	100	Mid	Free-living
SRR10688490	"Lake Ontario, USA Station 55"	Illumina MiSeq	5-Apr-13	3.4	Surface	Free-living
SRR10688491	"Lake Ontario, USA Station 33"	Illumina MiSeq	4-Apr-13	128.3	Bottom	Free-living
SRR10688492	"Lake Ontario, USA Station 33"	Illumina MiSeq	4-Apr-13	100	Mid	Free-living
SRR10688493	"Lake Erie, USA, Station 78"	Illumina MiSeq	10-Aug-12	2	Surface	Free-living
SRR10688494	"Lake Ontario, USA Station 33"	Illumina MiSeq	4-Apr-13	2.7	Surface	Free-living
SRR10688495	"Lake Michigan, USA Station 41"	Illumina MiSeq	28-Mar-13	249	Bottom	Free-living
SRR10688496	"Lake Michigan, USA Station 41"	Illumina MiSeq	28-Mar-13	100	Mid	Free-living
SRR10688497	"Lake Michigan, USA Station 41"	Illumina MiSeq	28-Mar-13	2.5	Surface	Free-living
SRR10688498	"Lake Michigan, USA Station 27"	Illumina MiSeq	28-Mar-13	93.5	Bottom	Free-living
SRR10688499	"Lake Michigan, USA Station 27"	Illumina MiSeq	28-Mar-13	50	Mid	Free-living
SRR10688500	"Lake Michigan, USA Station 27"	Illumina MiSeq	28-Mar-13	1.8	Surface	Free-living
SRR10688501	"Lake Michigan, USA Station 18"	Illumina MiSeq	27-Mar-13	148	Bottom	Free-living
SRR10688502	"Lake Michigan, USA Station 18"	Illumina MiSeq	27-Mar-13	100	Mid	Free-living
SRR10688503	"Lake Michigan, USA Station 18"	Illumina MiSeq	27-Mar-13	3.5	Surface	Free-living
SRR10688504	"Lake Erie, USA Station 15"	Illumina MiSeq	11-Aug-12	61	Bottom	Free-living
SRR10688505	"Lake Huron, USA Station 54"	Illumina MiSeq	29-Mar-13	104	Bottom	Free-living
SRR10688506	"Lake Huron, USA Station 54"	Illumina MiSeq	29-Mar-13	50	Mid	Free-living
SRR10688507	"Lake Huron, USA Station 54"	Illumina MiSeq	29-Mar-13	2.1	Surface	Free-living
SRR10688508	"Lake Huron, USA Station 45"	Illumina MiSeq	30-Mar-13	87.1	Bottom	Free-living
SRR10688509	"Lake Huron, USA Station 45"	Illumina MiSeq	30-Mar-13	50	Mid	Free-living
SRR10688510	"Lake Huron, USA Station 45"	Illumina MiSeq	30-Mar-13	2	Surface	Free-living
SRR10688511	"Lake Huron, USA Station 15"	Illumina MiSeq	30-Mar-13	56.7	Bottom	Free-living
SRR10688512	"Lake Huron, USA Station 15"	Illumina MiSeq	30-Mar-13	30	Mid	Free-living
SRR10688513	"Lake Huron, USA Station 15"	Illumina MiSeq	30-Mar-13	1.7	Surface	Free-living
SRR10688514	"Lake Erie, USA Station 91"	Illumina MiSeq	2-Apr-13	8.8	Bottom	Free-living
SRR10688515	"Lake Erie, USA Station 15"	Illumina MiSeq	11-Aug-12	46	Mid	Free-living
SRR10688516	"Lake Erie, USA Station 91"	Illumina MiSeq	2-Apr-13	5.2	Mid	Free-living
SRR10688517	"Lake Erie, USA Station 91"	Illumina MiSeq	2-Apr-13	1.8	Surface	Free-living
SRR10688518	"Lake Erie, USA Station 78"	Illumina MiSeq	3-Apr-13	10.1	Mid	Free-living
SRR10688519	"Lake Erie, USA Station 15"	Illumina MiSeq	3-Apr-13	52.9	Bottom	Free-living
SRR10688520	"Lake Erie, USA Station 15"	Illumina MiSeq	3-Apr-13	31.5	Mid	Free-living
SRR10688521	"Lake Erie, USA Station 15"	Illumina MiSeq	3-Apr-13	2.5	Surface	Free-living
SRR10688522	"Lake Superior, USA Station 18"	Illumina MiSeq	20-Aug-12	142.5	Bottom	Free-living
SRR10688523	"Lake Superior, USA Station 18"	Illumina MiSeq	20-Aug-12	91.2	Mid	Free-living
SRR10688524	"Lake Superior, USA Station 18"	Illumina MiSeq	20-Aug-12	29.5	DCM	Free-living
SRR10688525	"Lake Superior, USA Station 18"	Illumina MiSeq	20-Aug-12	1.9	Surface	Free-living
SRR10688526	"Lake Erie, USA Station 15"	Illumina MiSeq	11-Aug-12	17	Mid	Free-living
SRR10688527	"Lake Superior, USA Station 8"	Illumina MiSeq	19-Aug-12	276	Bottom	Free-living
SRR10688528	"Lake Superior, USA Station 8"	Illumina MiSeq	19-Aug-12	200	Mid	Free-living
SRR10688529	"Lake Superior, USA Station 8"	Illumina MiSeq	19-Aug-12	37	DCM	Free-living
SRR10688530	"Lake Superior, USA Station 8"	Illumina MiSeq	19-Aug-12	1.7	Surface	Free-living
SRR10688531	"Lake Superior, USA Station 1"	Illumina MiSeq	18-Aug-12	84	Bottom	Free-living
SRR10688532	"Lake Superior, USA Station 1"	Illumina MiSeq	18-Aug-12	63.9	Mid	Free-living
SRR10688533	"Lake Superior, USA Station 1"	Illumina MiSeq	18-Aug-12	37	DCM	Free-living
SRR10688534	"Lake Superior, USA Station 1"	Illumina MiSeq	18-Aug-12	2	Surface	Free-living
SRR10688535	"Lake Ontario, USA Station 68"	Illumina MiSeq	12-Aug-12	41.1	Bottom	Free-living
SRR10688536	"Lake Ontario, USA Station 68"	Illumina MiSeq	12-Aug-12	16	DCM	Free-living
SRR10688537	"Lake Erie, USA Station 15"	Illumina MiSeq	11-Aug-12	2	Surface	Free-living
SRR10688538	"Lake Ontario, USA Station 68"	Illumina MiSeq	12-Aug-12	1.9	Surface	Free-living
SRR10688539	"Lake Ontario, USA Station 55"	Illumina MiSeq	13-Aug-12	182.7	Bottom	Free-living
SRR10688540	"Lake Ontario, USA Station 55"	Illumina MiSeq	13-Aug-12	100.1	Mid	Free-living
SRR10688541	"Lake Ontario, USA Station 55"	Illumina MiSeq	13-Aug-12	16.4	Mid	Free-living
SRR10688542	"Lake Ontario, USA Station 55"	Illumina MiSeq	13-Aug-12	1.9	Surface	Free-living
SRR10688543	"Lake Ontario, USA Station 33"	Illumina MiSeq	12-Aug-12	127.5	Bottom	Free-living
SRR10688544	"Lake Ontario, USA Station 33"	Illumina MiSeq	12-Aug-12	86.2	Mid	Free-living
SRR10688545	"Lake Ontario, USA Station 33"	Illumina MiSeq	12-Aug-12	13.9	Mid	Free-living
SRR10688546	"Lake Ontario, USA Station 33"	Illumina MiSeq	12-Aug-12	1.8	Surface	Free-living
SRR10688547	"Lake Michigan, USA Station 41"	Illumina MiSeq	3-Aug-12	249.4	Bottom	Free-living
SRR10688548	"Lake Superior, USA Station 8"	Illumina MiSeq	18-Apr-12	1	Surface	Free-living
SRR10688549	"Lake Michigan, USA Station 41"	Illumina MiSeq	3-Aug-12	100.7	Mid	Free-living
SRR10688550	"Lake Michigan, USA Station 41"	Illumina MiSeq	3-Aug-12	38.6	DCM	Free-living
SRR10688551	"Lake Michigan, USA Station 41"	Illumina MiSeq	3-Aug-12	2	Surface	Free-living
SRR10688552	"Lake Michigan, USA Station 27"	Illumina MiSeq	2-Aug-12	92.9	Bottom	Free-living
SRR10688553	"Lake Michigan, USA Station 27"	Illumina MiSeq	2-Aug-12	50	Mid	Free-living
SRR10688554	"Lake Michigan, USA Station 27"	Illumina MiSeq	2-Aug-12	36.8	DCM	Free-living
SRR10688555	"Lake Michigan, USA Station 27"	Illumina MiSeq	2-Aug-12	2	Surface	Free-living
SRR10688556	"Lake Michigan, USA Station 18"	Illumina MiSeq	1-Aug-12	147.9	Bottom	Free-living
SRR10688557	"Lake Michigan, USA Station 18"	Illumina MiSeq	1-Aug-12	100	Mid	Free-living
SRR10688558	"Lake Michigan, USA Station 18"	Illumina MiSeq	1-Aug-12	36	DCM	Free-living
SRR10688559	"Lake Ontario, USA Station 33"	Illumina MiSeq	11-Apr-12	1	Surface	Free-living
SRR10688560	"Lake Michigan, USA Station 18"	Illumina MiSeq	1-Aug-12	2.1	Surface	Free-living
SRR10688561	"Lake Michigan, USA Station 18"	Illumina MiSeq	1-Aug-12	2.1	Surface	Free-living
SRR10688562	"Lake Huron, USA Station 54"	Illumina MiSeq	6-Aug-12	100.5	Bottom	Free-living
SRR10688563	"Lake Huron, USA Station 54"	Illumina MiSeq	6-Aug-12	70	Mid	Free-living
SRR10688564	"Lake Superior, USA Station 18"	Illumina MiSeq	19-Aug-13	2	Surface	Free-living
SRR10688565	"Lake Superior, USA Station 17"	Illumina MiSeq	21-Aug-13	186.8	Bottom	Free-living
SRR10688566	"Lake Superior, USA Station 17"	Illumina MiSeq	21-Aug-13	100	Mid	Free-living
SRR10688567	"Lake Superior, USA Station 17"	Illumina MiSeq	21-Aug-13	35.9	DCM	Free-living
SRR10688568	"Lake Huron, USA Station 54"	Illumina MiSeq	6-Aug-12	55.1	DCM	Free-living
SRR10688569	"Lake Huron, USA Station 54"	Illumina MiSeq	6-Aug-12	2.2	Surface	Free-living
SRR10688570	"Lake Huron, USA Station 45"	Illumina MiSeq	7-Aug-12	93.9	Bottom	Free-living
SRR10688571	"Lake Huron, USA Station 45"	Illumina MiSeq	7-Aug-12	74	Mid	Free-living
SRR10688572	"Lake Huron, USA Station 45"	Illumina MiSeq	7-Aug-12	50.1	DCM	Free-living
SRR10688573	"Lake Huron, USA Station 45"	Illumina MiSeq	7-Aug-12	2.2	Surface	Free-living
SRR10688574	"Lake Huron, USA Station 45"	Illumina MiSeq	4-Apr-12	1	Surface	Free-living
SRR10688575	"Lake Huron, USA Station 15"	Illumina MiSeq	8-Aug-12	56.7	Bottom	Free-living
SRR10688576	Lake Guardian Ship Water	Illumina MiSeq	5-Aug-15	nan	nan	Free-living
SRR10688577	"Lake Huron, USA Station 15"	Illumina MiSeq	8-Aug-12	50	Mid	Free-living
SRR10688578	Lake Guardian Ship Water	Illumina MiSeq	5-Aug-15	nan	nan	Free-living
SRR10688579	"Lake Michigan, USA Station FO"	Illumina MiSeq	5-Aug-15	108.5	Bottom	Free-living
SRR10688580	"Lake Michigan, USA Station FO"	Illumina MiSeq	5-Aug-15	68	Mid	Free-living
SRR10688581	"Lake Michigan, USA Station FO"	Illumina MiSeq	5-Aug-15	24.9	DCM	Free-living
SRR10688582	"Lake Michigan, USA Station FO"	Illumina MiSeq	5-Aug-15	1.9	Surface	Free-living
SRR1697762	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697763	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697763	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697765	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697765	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697766	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697766	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697767	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697767	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697768	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697768	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697769	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697769	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697770	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697770	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697771	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697771	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697772	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697772	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697774	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697774	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697775	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697775	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697776	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697776	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697777	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697777	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697778	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697778	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697779	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697779	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697780	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697780	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697782	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697782	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697783	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697783	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697784	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697784	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697785	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697785	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697787	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697787	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697788	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697788	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697789	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697789	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697790	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697790	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697791	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697791	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697792	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697792	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697793	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697793	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697794	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697794	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697795	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697795	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697797	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697797	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697798	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697798	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697799	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697799	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697800	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697800	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697801	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697801	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697802	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
SRR1697802	Metagenomics of freshwater metagenome	Illumina MiSeq	nan	nan	nan	nan
