Gene	TransportDB Annotation
2807003591	sodium ion efflux
2807003646	lipoprotein
2807003647	lipoprotein releasing
2807003714	efflux (antimicrobial peptide)
2807003722	toluene tolerance
2807003723	lipoprotein
2807003724	toluene tolerance
2807004120	daunorubicin
2807004173	glycine betaine
2807004208	daunorubicin
2807004209	daunorubicin
2807004210	multidrug
2807004211	multidrug
2807004241	spermidine/putrescine
2807004242	spermidine/putrescine
2807004243	spermidine/putrescine
2807004244	polyamine
2807004247	daunorubicin
2807004248	multidrug
2807004320	lipid A
2807004350	efflux (antimicrobial peptide)
2807004351	lipoprotein
2807004371	heme
2807004378	daunorubicin
2807004459	polysaccharide export
2807004526	daunorubicin
2807004535	sugar (ribose)
2807004536	sugar (ribose)
2807004559	daunorubicin
2807004560	unknown substrate
2807004739	daunorubicin
2807004776	lipoprotein
2807004777	lipoprotein releasing
2807005035	lipid A
2807005059	daunorubicin
2807005062	lipoprotein releasing
2807005113	organic solvents
2807005114	daunorubicin
2807005134	toxin secretion
2807005160	daunorubicin
2807005270	heme
2807005350	daunorubicin
2807005550	mobybdenate
2807005585	rhamnose
2807005724	heme
2807005800	lipid A
2807005814	lipoprotein releasing
2807005815	lipoprotein
2807005915	efflux (antimicrobial peptide)
2807005916	efflux (antimicrobial peptide)
2807006094	thiamine
2807006107	lipoprotein
2807006108	unknown substrate
2807006176	polysaccharide export
2807006246	heme export
2807006247	heme export
2807006248	heme
2807006372	lipoprotein
2807006503	molybdate
2807006504	molybdate
2807006549	lipoprotein
2807006630	lipoprotein
2807006631	lipoprotein releasing
2807006632	cobalamin/Fe3+-siderophores
2807006633	phosphonate
2807006634	iron-hydroxamate
2807006840	lipid A
2807006906	sulfate
2807006914	multidrug
2807006915	daunorubicin
2807006929	lipoprotein releasing
2807006930	lipoprotein
2807006933	lipoprotein
2807007107	glycine betaine
2807007147	daunorubicin
2807007180	rhamnose
2807007196	lipoprotein
2807007218	rhamnose
2807007230	unknown substrate
2807007232	cobalt
2807007327	daunorubicin
2807007329	daunorubicin
2807007380	efflux (antimicrobial peptide)
2807007589	lipid A
2807007596	multidrug
2807007964	efflux (antimicrobial peptide)
2807008005	daunorubicin
2807008006	multidrug
2807008007	multidrug
2807008090	efflux (antimicrobial peptide)
2807008091	efflux (antimicrobial peptide)
2807004440	Autoinducer-2 export
2807004953	Autoinducer-2 export
2807007618	ammonium
2807003738	amino acid
2807003932	amino acid
2807003978	large neutral amino acid
2807003979	amino acid
2807005643	ethanolamine
2807005967	large neutral amino acid
2807006346	large neutral amino acid
2807007226	amino acid
2807007398	large neutral amino acid
2807004644	arsenite (ArsB)
2807005597	proton:calcium ion antiporter
2807003659	cation efflux
2807007312	cation efflux
2807006850	sodium ion:nucleoside symporter
2807004775	potassium/sodium ion:proton antiporter
2807006201	potassium/sodium ion:proton antiporter
2807003940	proton/sodium ion:glutamate/aspartate symporter
2807004678	proton/sodium ion:glutamate/aspartate symporter
2807003712	sodium ion:dicarboxylate/sulfate
