Gene	TransporterDB Annotation
2806998375	D-galactonate
2806998386	metabolite (benzoate)
2806998387	sodium ion:proline symporter
2806998441	LPS export ABC transporter permease LptF/LPS export ABC transporter permease LptG
2806998476	metabolite (benzoate)
2806998573	daunorubicin
2806998574	polysaccharide export
2806998588	proton/sodium ion:glutamate/aspartate symporter
2806998607	multidrug efflux
2806998628	D-galactonate
2806998651	sulfate
2806998713	iron complex transport system ATP-binding protein
2806998670	small-conductance mechanosensitive ion channel
2806998745	lipopolysaccharide transport system permease protein
2806998674	chromate ion
2806998675	chromate ion
2806998702	protons
2806998703	protons
2806998709	tellurium ion efflux
2806998713	daunorubicin
2806998717	virulence factor MviN
2806998726	daunorubicin
2806998745	polysaccharide export
2806998796	cation efflux
2806998802	unknown substrate
2806998828	phosphate
2806998831	amino acid
2806998860	multidrug
2806998866	large neutral amino acid
2806998867	sodium ion:proline symporter
2806998881	efflux (antimicrobial peptide)
2806998909	biopolymer transport protein ExbB/TolQ
2806998923	polysaccharide export
2806998934	glycerol:proton symporter
2806998940	magnesium ion
2806998962	unknown substrate
2806998975	sodium ion:proline symporter
2806999035	D-galactonate
2806999045	hemolysin C (HlyC) homolog
2806999046	chloride ion channel
2806999064	unknown substrate
2806999071	zinc/cadmium/cobalt ion
2806999078	multidrug efflux
2806999097	sodium ion:proton antiporter
2806999102	drug/metabolite
2806999103	drug/metabolite
2806999127	glycerol-3-phosphate
2806999179	multidrug efflux
2806999220	ferrous ion
2806999221	ferrous iron transport protein A
2806999231	daunorubicin
2806999241	D-galactonate
2806999265	daunorubicin
2806999281	glycerol uptake
2806999302	RND family efflux transporter MFP subunit
2806999303	multidrug/solvent efflux (HAE1 subfamily)
2806999321	sodium ion:nucleoside symporter
2806999323	polyamine
2806999334	magnesium/cobalt ion
2806999364	unknown substrate
2806999376	spermidine/putrescine
2806999377	spermidine/putrescine
2806999378	polyamine
2806999455	proton/sodium ion:glutamate/aspartate symporter
2806999464	unknown substrate
2806999465	unknown substrate
2806999466	unknown substrate
2806999467	unknown substrate
2806999526	outer membrane receptor protein involved in Fe transport
2806999548	protein export
2806999584	D-galactonate
2806999629	proton/sodium ion:glutamate/aspartate symporter
2806999685	RND family efflux transporter MFP subunit
2806999686	multidrug/solvent efflux (HAE1 subfamily)
2806999687	multidrug/solvent efflux (HAE1 subfamily)
2806999688	multidrug/solvent efflux (HAE1 subfamily)
2806999689	multidrug/solvent efflux (HAE1 subfamily)
2806999690	multidrug/solvent efflux (HAE1 subfamily)
2806999698	sodium ion:dicarboxylate/sulfate
