alignment_coverage,ani,querry,reference,primary_cluster
0.41,0.7376999999999999,Acidipila_rosea_DSM_103428.fna,Acidipila_sp_4G-K13.fna,0
0.41,0.7376999999999999,Acidipila_sp_4G-K13.fna,Acidipila_rosea_DSM_103428.fna,0
0.03,0.6767,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_EAC88.fna,0
0.03,0.6765000000000001,Acidobacteria_bacterium_EAC88.fna,Acidipila_rosea_DSM_103428.fna,0
0.04,0.6762,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_EAC88.fna,0
0.04,0.6748000000000001,Acidobacteria_bacterium_EAC88.fna,Acidipila_sp_4G-K13.fna,0
0.24,0.7088,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.24,0.7086,Acidobacteria_bacterium_KBS_146.fna,Acidipila_rosea_DSM_103428.fna,0
0.24,0.7106999999999999,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.24,0.7105,Acidobacteria_bacterium_KBS_146.fna,Acidipila_sp_4G-K13.fna,0
0.03,0.6740999999999999,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.03,0.6726000000000001,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_EAC88.fna,0
0.06,0.6847,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_NP133.fna,0
0.06,0.6849,Acidobacteria_bacterium_NP133.fna,Acidipila_rosea_DSM_103428.fna,0
0.07,0.6919,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_NP133.fna,0
0.07,0.6915,Acidobacteria_bacterium_NP133.fna,Acidipila_sp_4G-K13.fna,0
0.57,0.7573000000000001,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_NP133.fna,0
0.57,0.7570999999999999,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_EAC88.fna,0
0.05,0.6792,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_NP133.fna,0
0.05,0.6790999999999999,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.04,0.6809000000000001,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.04,0.6818000000000001,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidipila_rosea_DSM_103428.fna,0
0.04,0.6814,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.04,0.6823,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidipila_sp_4G-K13.fna,0
0.03,0.6761,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.03,0.6759999999999999,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_EAC88.fna,0
0.03,0.6773,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.03,0.6775,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.05,0.6856,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.05,0.6857,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_NP133.fna,0
0.07,0.687,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.07,0.6862,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidipila_rosea_DSM_103428.fna,0
0.09,0.6947,Acidipila_sp_4G-K13.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.09,0.6945,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidipila_sp_4G-K13.fna,0
0.05,0.6714,Acidobacteria_bacterium_EAC88.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.05,0.6714,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_EAC88.fna,0
0.06,0.6851,Acidobacteria_bacterium_KBS_146.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.06,0.6848000000000001,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_KBS_146.fna,0
0.07,0.6901999999999999,Acidobacteria_bacterium_NP133.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.07,0.6895,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_NP133.fna,0
0.04,0.6812999999999999,Acidobacteria_bacterium_RBG_13_68_16.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,0
0.04,0.6793,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_61_28.fna,Acidobacteria_bacterium_RBG_13_68_16.fna,0
0.05,0.6890999999999999,Acidipila_rosea_DSM_103428.fna,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,0
0.05,0.6886,Acidobacteria_bacterium_RIFCSPLOWO2_02_FULL_64_15.fna,Acidipila_rosea_DSM_103428.fna,0
